foodA,foodB
acorn squash,allspice
acorn squash,bay leaf
acorn squash,parmesan cheese
acorn squash,cinnamon
acorn squash,cream
acorn squash,eggs
acorn squash,garlic
acorn squash,ginger
acorn squash,maple syrup
acorn squash,mascarpone
acorn squash,nutmeg
acorn squash,nuts
acorn squash,olive oil
acorn squash,parsley
acorn squash,pork
acorn squash,sage
acorn squash,kosher salt
acorn squash,sugar
acorn squash,thyme
acorn squash,vanilla
acorn squash,sherry vinegar
almond oil,almonds
almond oil,asparagus
almond oil,baked goods
almond oil,chicken
almond oil,duck
almond oil,fish
almond oil,mustard
almond oil,pasta
almond oil,romaine
almond oil,salads
almond oil,sauces
almond oil,smoked salmon
almond oil,vegetables
almond oil,vinaigrettes
almond oil,champagne vinegar
almonds,amaretto
almonds,apples
almonds,apricots
almonds,beans
almonds,blackberries
almonds,brandy
almonds,butter
almonds,butterscotch
almonds,caramel
almonds,cardamom
almonds,cayenne
almonds,cheese
almonds,chicken
almonds,chocolate
almonds,cinnamon
almonds,coconut
almonds,coffee
almonds,cornmeal
almonds,corn syrup
almonds,crab
almonds,cranberries
almonds,cream
almonds,cream cheese
almonds,crème fraîche
almonds,currants
almonds,figs
almonds,fish
almonds,french pastries
almonds,garlic
almonds,grapes
almonds,greens
almonds,hazelnuts
almonds,honey
almonds,ice cream
almonds,italian sauces
almonds,lamb
almonds,lavender
almonds,lemons
almonds,mascarpone
almonds,milk
almonds,molasses
almonds,nectarines
almonds,oats
almonds,olive oil
almonds,olives
almonds,oranges
almonds,paprika
almonds,passion fruit
almonds,peaches
almonds,pears
almonds,pecans
almonds,pine nuts
almonds,plums
almonds,praline
almonds,prunes
almonds,quince
almonds,raspberries
almonds,rhubarb
almonds,rice
almonds,rosemary
almonds,rum
almonds,kosher salt
almonds,sea salt
almonds,shellfish
almonds,sherry
almonds,strawberries
almonds,sugar
almonds,tea
almonds,vanilla
almonds,walnuts
amaretto,almonds
amaretto,apricots
amaretto,butter
amaretto,cherries
amaretto,chocolate
amaretto,coffee
amaretto,cream
amaretto,hazelnuts
amaretto,peaches
amaretto,pork
amaretto,sugar
anaheim chile peppers,salads
anaheim chile peppers,salsas
anaheim chile peppers,stuffed peppers
ancho chile peppers,cashews
ancho chile peppers,chili
ancho chile peppers,soups
ancho chile peppers,turkey
anchovies,almonds
anchovies,basil
anchovies,green beans
anchovies,capers
anchovies,carrots
anchovies,cauliflower
anchovies,celery
anchovies,manchego cheese
anchovies,mozzarella cheese
anchovies,parmesan cheese
anchovies,chives
anchovies,eggs
anchovies,fennel
anchovies,garlic
anchovies,lemons
anchovies,lobster
anchovies,mayonnaise
anchovies,nectarines
anchovies,olive oil
anchovies,onions
anchovies,oranges
anchovies,parsley
anchovies,pasta
anchovies,black peppercorns
anchovies,white peppercorns
anchovies,piquillo peppers
anchovies,pizza
anchovies,potatoes
anchovies,puttanesca sauce
anchovies,red pepper flakes
anchovies,romaine lettuce
anchovies,rosemary
anchovies,salmon
anchovies,kosher salt
anchovies,sea salt
anchovies,shallots
anchovies,tapenade
anchovies,thyme
anchovies,tomatoes
anchovies,tuna
anchovies,champagne vinegar
anchovies,red wine vinegar
anchovies,sherry vinegar
angelica,almonds
angelica,anise
angelica,apricots
angelica,candy
angelica,cream
angelica,custards
angelica,fish
angelica,fruits
angelica,ginger
angelica,hazelnuts
angelica,juniper berries
angelica,lavender
angelica,lemon balm
angelica,mushrooms
angelica,nutmeg
angelica,oranges
angelica,black peppercorns
angelica,plums
angelica,rhubarb
angelica,salads
angelica,shellfish
angelica,strawberries
apples,allspice
apples,almonds
apples,apple cider
apples,applejack
apples,apricots
apples,armagnac
apples,bacon
apples,bay leaf
apples,beef
apples,blackberries
apples,bourbon
apples,brioche
apples,butter
apples,butterscotch
apples,cabbage
apples,calvados
apples,caramel
apples,cardamom
apples,celery
apples,celery root
apples,camembert cheese
apples,cheddar cheese
apples,goat's milk cheese
apples,gruyère cheese
apples,cherries
apples,chestnuts
apples,chicken
apples,chives
apples,cider
apples,cinnamon
apples,cloves
apples,cognac
apples,cointreau
apples,coriander
apples,cranberries
apples,cream
apples,crème anglaise
apples,crème fraîche
apples,cumin
apples,curry powder
apples,custards
apples,dates
apples,duck
apples,eggplant
apples,fennel
apples,frisée
apples,ginger
apples,goose
apples,hazelnuts
apples,horseradish
apples,ice cream
apples,kirsch
apples,lavender
apples,lemons
apples,lemon thyme
apples,lychees
apples,madeira
apples,maple syrup
apples,mayonnaise
apples,meringue
apples,molasses
apples,mustard
apples,nutmeg
apples,nuts
apples,oats
apples,canola oil
apples,hazelnut oil
apples,walnut oil
apples,olive oil
apples,oranges
apples,parsley
apples,peanuts
apples,pears
apples,pecans
apples,black peppercorns
apples,pies
apples,pineapple
apples,pine nuts
apples,pistachios
apples,plums
apples,pomegranates
apples,pork
apples,poultry
apples,prunes
apples,puff pastry
apples,pumpkin
apples,quince
apples,rhubarb
apples,rice
apples,rosemary
apples,rum
apples,fruit salads
apples,green salads
apples,kosher salt
apples,sauerkraut
apples,sherry
apples,soups
apples,sour cream
apples,star anise
apples,sugar
apples,sweet potatoes
apples,tarragon
apples,tarts
apples,thyme
apples,vanilla
apples,verjus
apples,vermouth
apples,cider vinegar
apples,raspberry vinegar
apples,walnuts
apples,red wine
apples,dry white wine
apples,yogurt
apricots,allspice
apricots,almonds
apricots,amaretto
apricots,anise
apricots,apples
apricots,apricot brandy
apricots,bananas
apricots,blackberries
apricots,blueberries
apricots,brandy
apricots,butter
apricots,caramel
apricots,cardamom
apricots,cayenne
apricots,cheesecake
apricots,cherries
apricots,chicken
apricots,white chocolate
apricots,cinnamon
apricots,coconut
apricots,coffee
apricots,cognac
apricots,coriander
apricots,cranberries
apricots,cream
apricots,crème anglaise
apricots,duck
apricots,foie gras
apricots,game
apricots,garlic
apricots,ginger
apricots,hazelnuts
apricots,honey
apricots,kirsch
apricots,lamb
apricots,lemons
apricots,lemon verbena
apricots,maple syrup
apricots,mascarpone
apricots,meringue
apricots,mint
apricots,nectarines
apricots,nutmeg
apricots,nuts
apricots,oats
apricots,oranges
apricots,peaches
apricots,black peppercorns
apricots,pineapple
apricots,pine nuts
apricots,pistachios
apricots,plums
apricots,pork
apricots,poultry
apricots,praline
apricots,prunes
apricots,raisins
apricots,raspberries
apricots,rice pudding
apricots,rosemary
apricots,rum
apricots,saffron
apricots,sauternes
apricots,sour cream
apricots,strawberries
apricots,sugar
apricots,tea
apricots,vanilla
apricots,red wine vinegar
apricots,walnuts
apricots,sweet wine
apricots,white wine
apricots,yogurt
artichokes,aioli
artichokes,anchovies
artichokes,arugula
artichokes,bacon
artichokes,basil
artichokes,bay leaf
artichokes,fava beans
artichokes,beets
artichokes,bread crumbs
artichokes,butter
artichokes,capers
artichokes,carrots
artichokes,cashews
artichokes,celery
artichokes,emmental cheese
artichokes,goat's milk cheese
artichokes,gruyère cheese
artichokes,parmesan cheese
artichokes,chervil
artichokes,chicken
artichokes,chives
artichokes,coriander
artichokes,cream
artichokes,crème fraîche
artichokes,eggs
artichokes,garlic
artichokes,grapefruit
artichokes,hazelnuts
artichokes,hollandaise sauce
artichokes,leeks
artichokes,lemons
artichokes,lobster
artichokes,mayonnaise
artichokes,mint
artichokes,mushrooms
artichokes,mustard
artichokes,walnuts
artichokes,hazelnut oil
artichokes,peanut oil
artichokes,olive oil
artichokes,olives
artichokes,orange
artichokes,pancetta
artichokes,parsley
artichokes,black peppercorns
artichokes,white peppercorns
artichokes,pesto
artichokes,piquillo peppers
artichokes,potatoes
artichokes,prosciutto
artichokes,radicchio
artichokes,red pepper flakes
artichokes,rice
artichokes,risotto
artichokes,rosemary
artichokes,saffron
artichokes,sage
artichokes,salads
artichokes,kosher salt
artichokes,savory
artichokes,shallots
artichokes,sherry
artichokes,shrimp
artichokes,soy sauce
artichokes,spinach
artichokes,chicken stock
artichokes,sugar
artichokes,tapenade
artichokes,tarragon
artichokes,thyme
artichokes,tomatoes
artichokes,truffles
artichokes,tuna
artichokes,vinaigrette
artichokes,balsamic vinegar
artichokes,rice wine vinegar
artichokes,sherry vinegar
artichokes,white wine vinegar
artichokes,dry white wine
artichokes,yogurt
arugula,almonds
arugula,basil
arugula,white beans
arugula,cabrales cheese
arugula,feta cheese
arugula,goat's milk cheese
arugula,mozzarella cheese
arugula,parmesan cheese
arugula,chicken
arugula,cilantro
arugula,clams
arugula,corn
arugula,cucumbers
arugula,dill
arugula,endive
arugula,fennel
arugula,garlic
arugula,grapes
arugula,lemon juice
arugula,lettuces
arugula,lovage
arugula,salads
arugula,mint
arugula,mushrooms
arugula,mussels
arugula,nuts
arugula,olive oil
arugula,olives
arugula,pancetta
arugula,parsley
arugula,pasta
arugula,pears
arugula,pesto
arugula,pine nuts
arugula,potatoes
arugula,prosciutto
